link,is_furnished,apartment_class
https://www.otodom.pl/pl/oferta/2-pokoje-w-nowym-bloku-niska-cena-bezposrednio-ID4tBs9,1,standard
https://www.otodom.pl/pl/oferta/2-pokojowe-29m-ul-piekna-kamienica-ID4tOIM,1,standard
https://www.otodom.pl/pl/oferta/3-pokoje-lazurowa-bemowo-57-m2-mieszkanie-z-2024-ID4tOI2,1,standard
https://www.otodom.pl/pl/oferta/3-pokoje-przy-ul-pieknej-centrum-warszawy-ID4tOIF,1,standard
https://www.otodom.pl/pl/oferta/61m2-2-pokoje-centrum-ID4npbx,1,standard
https://www.otodom.pl/pl/oferta/72m2-wysoki-standard-ul-grzybowska-ID4i6RM,1,superior
https://www.otodom.pl/pl/oferta/77m2-wysoki-standard-ul-goszczynskiego-ID4r0rt,1,premium
https://www.otodom.pl/pl/oferta/80m2-3-pokojowe-al-wilanowska-ID4r0rw,1,superior
https://www.otodom.pl/pl/oferta/90m2-3-pokoje-2-lazienki-nowe-ID3lXRu,1,premium
https://www.otodom.pl/pl/oferta/apartament-4-pokoje-w-miasteczku-wilanow-ID4tOHj,1,superior
https://www.otodom.pl/pl/oferta/apartament-na-wynajem-na-wilanowie-350-m-z-ogro-ID4sSI0,1,premium
https://www.otodom.pl/pl/oferta/bez-prowizji-mieszkanie-na-mokotowie-ID4tP4l,1,standard
https://www.otodom.pl/pl/oferta/bez-prowizji-wynajem-mieszkania-na-sadybie-ID4tP2E,1,basic
https://www.otodom.pl/pl/oferta/bezposrednio-ciche-i-wyjatkowe-mieszkanie-68m2-ID4tOI0,1,standard
https://www.otodom.pl/pl/oferta/bezposrednio-dwustronne-2pok-z-oddzielna-kuchnia-ID4tOMv,1,standard
https://www.otodom.pl/pl/oferta/bialoleka-44m2-2-pokoje-balkon-ID4tOMs,1,standard
https://www.otodom.pl/pl/oferta/bielany-ul-maszewska-kawalerka-po-remoncie-ID4tP3v,1,basic
https://www.otodom.pl/pl/oferta/elegancki-dwupokojowy-apartament-w-cosmopolitan-ID4jnpK,1,premium
https://www.otodom.pl/pl/oferta/kawalerka-19-dzielnica-centrym-wola-warszawa-ID4tOS1,1,standard
https://www.otodom.pl/pl/oferta/kawalerka-na-saskiej-kepie-od-stycznia-2025-ID4tP2S,1,basic
https://www.otodom.pl/pl/oferta/komfortowe-m2-w-otoczeniu-zieleni-przy-metrze-ID4tiFj,1,standard
https://www.otodom.pl/pl/oferta/komfortowy-jasny-apartament-w-miasteczku-wilanow-ID4tOHg,1,superior
https://www.otodom.pl/pl/oferta/luksusowy-4-pokojowy-apartament-na-wynajem-ID4tnrN,1,superior
https://www.otodom.pl/pl/oferta/luksusowy-apartament-3-pokoje-pierwszy-najemca-ID4t8Su,1,superior
