added_dt,last_update,link,floor,heating,advertiser_type,location,latitude,longitude,approximate_coordinates,elevator,building_type,safeguards,district,rent,additional_fees,area,room_number,students_allowed,non_smoker_only,building_height,for_renovation,balcony,terrace,garden,parking_space,separate_kitchen,utility_room,basement,gated_community,security_monitoring,building_age,cable_tv,internet,dishwasher,air_conditioning
2025-01-19,,https://www.otodom.pl/pl/oferta/wynajme-2-pokoje-ursus-ID4utPU,5.0,district,owner,"Czechowice, Ursus, Warszawa, mazowieckie",52.19512,20.88379,1,1,block_of_flats,1,Ursus,3600,0,43.0,2.0,0,0,,0,1,0,0,1,1,0,0,1,1,1.0,1,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-40-m2-warszawskim-mokotowie-ID.4utMo,6.0,district,owner,"ul. Artura Malawskiego, Wyględów, Mokotów, Warszawa, mazowieckie",52.18973,20.991219,0,1,block_of_flats,1,Mokotow,3000,680,40.0,2.0,1,0,10.0,0,1,0,0,0,0,0,1,0,0,56.0,1,1,1,0
2025-01-19,,https://www.otodom.pl/pl/oferta/zupelnie-nowe-2-pokoje-przy-galerii-mokotow-ID4utEm,1.0,district,agency,"ul. Wynalazek, Służewiec, Mokotów, Warszawa, mazowieckie",52.17872,20.9921,0,1,block_of_flats,1,Mokotow,3200,500,35.0,2.0,0,0,7.0,0,1,0,0,1,0,0,0,0,1,2.0,0,0,1,0
2025-01-20,,https://www.otodom.pl/pl/oferta/2-pok-5min-od-metra-rondo-onz-daszynskiego-ID4uwe0,10.0,,agency,"ul. Platynowa, Mirów, Wola, Warszawa, mazowieckie",52.22656,20.98973,0,0,other,0,Wola,3500,614,35.9,2.0,0,0,11.0,0,1,0,0,0,1,0,0,0,0,60.0,0,0,0,0
2025-01-20,,https://www.otodom.pl/pl/oferta/2-pok-na-goclawiu-w-budynku-z-2006r-ID4uwhz,2.0,,agency,"al. Aleja Stanów Zjednoczonych, Gocław, Praga-Południe, Warszawa, mazowieckie",52.23298,21.07673,0,1,block_of_flats,0,Praga_Poludnie,2200,700,40.0,2.0,0,0,13.0,0,1,0,0,0,0,0,0,0,1,19.0,0,0,1,0
2025-01-20,,https://www.otodom.pl/pl/oferta/2-pokoje-nowe-garaz-i-komorka-ID4uu4n,2.0,district,agency,"ul. Dionizosa, Nowodwory, Białołęka, Warszawa, mazowieckie",52.336587,20.949003,0,1,apartment,0,Bialoleka,3000,0,38.0,2.0,0,0,5.0,0,0,0,0,1,0,0,0,0,1,2.0,0,0,0,0
2025-01-20,,https://www.otodom.pl/pl/oferta/2-pokoje-ul-sztuk-pieknych-taras-parking-ID4uweb,3.0,district,agency,"ul. Sztuk Pięknych, Odolany, Wola, Warszawa, mazowieckie",52.221063,20.93595,0,1,block_of_flats,1,Wola,3500,0,53.38,2.0,0,0,6.0,0,1,1,0,1,0,0,0,0,1,14.0,0,0,0,0
2025-01-20,,https://www.otodom.pl/pl/oferta/2-pokoje-w-kamienicy-stara-ochota-obok-och-teat-ID4uury,1.0,district,agency,"ul. Baśniowa, Stara Ochota, Ochota, Warszawa, mazowieckie",52.2142,20.9781,0,1,tenement,1,Ochota,3500,500,34.0,2.0,1,0,7.0,0,0,0,0,0,0,1,1,0,0,75.0,1,1,1,0
2025-01-20,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-grzybowska-z-parkingiem-ID4uuYG,6.0,district,agency,"ul. Grzybowska, Czyste, Wola, Warszawa, mazowieckie",52.2318,20.97752,0,1,block_of_flats,0,Wola,4000,700,36.0,2.0,0,0,12.0,0,1,0,0,1,0,0,0,1,1,5.0,1,1,1,1
2025-01-20,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-premium-mokotow-ID4uty4,2.0,,agency,"ul. Pory, Stegny, Mokotów, Warszawa, mazowieckie",52.185793,21.043917,0,1,apartment,0,Mokotow,5500,500,50.0,2.0,0,0,,0,1,0,0,1,0,0,0,0,1,,1,1,1,0
2025-01-20,,https://www.otodom.pl/pl/oferta/2-pokojowe-nowy-miejsce-postojowe-39-m2-ID.4uucF,3.0,district,agency,"ul. Żeńców 7, Chrzanów, Bemowo, Warszawa, mazowieckie",52.226214,20.893547,0,1,apartment,1,Bemowo,2900,600,39.0,2.0,1,0,,0,1,0,0,1,0,0,0,1,1,1.0,0,0,1,0
2025-01-20,,https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-na-woli-m-kasprzaka-ID4uw83,4.0,,agency,"ul. Marcina Kasprzaka, Czyste, Wola, Warszawa, mazowieckie",52.22797,20.95886,0,1,other,0,Wola,4800,650,44.0,2.0,0,0,19.0,0,1,0,0,1,0,0,0,0,0,7.0,0,0,1,0
2025-01-20,,https://www.otodom.pl/pl/oferta/2-sypialnie-blisko-parku-garaz-ID4uukY,1.0,district,agency,"ul. Prymasa Augusta Hlonda, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",52.16229,21.06879,0,1,apartment,0,Wilanow,5200,800,59.0,3.0,0,0,4.0,0,1,0,0,1,0,1,0,0,0,15.0,0,0,1,1
2025-01-20,,https://www.otodom.pl/pl/oferta/3-nieprzechodnie-pokoje-47-3m2-saska-kepa-ID4uuHY,2.0,district,agency,"Saska Kępa, Praga-Południe, Warszawa, mazowieckie",52.230984,21.066148,0,0,block_of_flats,0,Praga_Poludnie,2700,950,47.3,3.0,0,0,4.0,0,1,0,0,0,1,0,0,0,0,,1,1,1,0
2025-01-20,,https://www.otodom.pl/pl/oferta/3-pok-58-m2-m-postojowe-ul-wyspowa-targowek-ID4uw8k,2.0,district,agency,"ul. Wyspowa, Zacisze, Targówek, Warszawa, mazowieckie",52.28859,21.083114,0,0,block_of_flats,1,Targowek,3100,1000,57.95,3.0,1,0,3.0,0,1,0,0,1,0,0,0,1,1,21.0,0,0,1,0
