stop_id,stop_code,stop_name,stop_lat,stop_lon
327,1,Nugat,52.1558120000,21.0518990000
330,1,Tagore'a,52.1953260000,21.0082200000
333,2,Megasam,52.1588930000,21.0213030000
335,1,Dunikowskiego,52.1543500000,21.0319000000
344,1,Szolc-Rogozińskiego,52.1499160000,21.0532640000
350,2,Zawady,52.1594480000,21.1188360000
356,1,Energetyczna,52.0873670000,21.0192780000
358,1,Kusocińskiego,52.0798690000,21.0214170000
363,2,Zalesie Dolne,52.0576090000,21.0086490000
367,1,Park Zdrojowy,52.0842560000,21.1197250000
370,2,Klarysew,52.1031900000,21.1144120000
378,2,Jara,52.1730120000,21.1077780000
381,2,Belgradzka,52.1430010000,21.0657420000
385,2,Grzegorzewskiej,52.1532060000,21.0555830000
386,2,Płaskowickiej,52.1500140000,21.0592310000
394,2,Madalińskiego,52.2036510000,21.0100950000
398,1,Joliot-Curie,52.1925340000,21.0110380000
399,2,Stefana Batorego,52.2101850000,21.0050540000
401,5,Kulskiego,52.2019440000,21.0025240000
403,1,Wołoska,52.1947970000,21.0014370000
406,6,Rondo Unii Europejskiej,52.1790550000,21.0026020000
408,2,Gotarda,52.1722080000,21.0045660000
412,1,Instytut Fizyki,52.1774410000,21.0072490000
416,1,Instytut Reumatologii,52.1910050000,20.9954800000
421,1,Stolbud,52.1843360000,20.9976460000
447,2,Bukowińska,52.1868340000,21.0249720000
457,2,Metro Wilanowska,52.1814840000,21.0231390000
461,1,Al. Lotników,52.1723100000,21.0195120000
466,3,Poleczki,52.1524100000,21.0192400000
471,1,Bogatki,52.1318760000,21.0177730000
441,4,Dworkowa,52.2053030000,21.0214230000
442,1,Dworkowa,52.2050140000,21.0226560000
445,4,Malczewskiego,52.1945990000,21.0230820000
456,8,Metro Wilanowska,52.1800060000,21.0200710000
462,1,Wyścigi,52.1643290000,21.0170530000
465,4,Poleczki,52.1533810000,21.0156310000
467,1,Poleczki,52.1519500000,21.0173230000
468,1,Grabów,52.1467200000,21.0174500000
469,1,Sójki,52.1430810000,21.0175440000
470,1,Żołny,52.1384470000,21.0174870000
474,1,Kapeli,52.1170870000,21.0181210000
476,1,Karczunkowska,52.1106880000,21.0182830000
478,2,Trombity,52.1102470000,21.0050310000
484,1,Dolna,52.2021340000,21.0349650000
501,2,Królowej Marysieńki,52.1684080000,21.0746210000
513,2,Czekoladowa,52.1330120000,21.1009870000
522,1,Bartycka,52.2120800000,21.0469700000
523,2,Bartycka,52.2123100000,21.0473120000
526,1,Chełmska,52.2014520000,21.0497650000
527,3,Chełmska,52.2022920000,21.0484720000
529,2,Gołkowska,52.1930490000,21.0583570000
531,1,Limanowskiego,52.1895530000,21.0604900000
557,1,EC Siekierki,52.1933680000,21.0840060000
562,2,Zawodzie,52.1838240000,21.0794990000
564,2,Stępińska,52.2069590000,21.0353860000
566,2,Zakrzewska,52.2021790000,21.0412170000
568,2,Os. Bernardyńska,52.1925670000,21.0624950000
569,1,Jeziorko Czerniakowskie,52.1918800000,21.0680540000
581,1,Nowoursynowska,52.1698350000,21.0397200000
587,2,Madalińskiego-Szpital,52.2039260000,21.0136820000
591,1,Krasickiego,52.1967550000,21.0200430000
592,2,Krasickiego,52.1965990000,21.0181880000
597,1,Modzelewskiego,52.1829250000,21.0140020000
602,5,Metro Wierzbno,52.1892240000,21.0183510000
603,6,Metro Wierzbno,52.1891510000,21.0161750000
604,1,Telewizja Polska,52.1890090000,21.0128060000
607,2,Konduktorska,52.2006900000,21.0297630000
616,2,Strzeleckiego,52.1571630000,21.0438510000
618,4,Strzeleckiego,52.1560600000,21.0428000000
629,4,Dunikowskiego,52.1545740000,21.0298610000
640,2,Polinezyjska,52.1515396800,21.0470845500
642,1,Miklaszewskiego,52.1472200000,21.0428000000
643,2,Miklaszewskiego,52.1482780000,21.0416920000
321,6,Samochodowa,52.1894750000,21.0074890000
324,2,Ursynów Płn.,52.1629360000,21.0377450000
337,1,Herbsta,52.1508320000,21.0273930000
342,1,Braci Wagów,52.1442750000,21.0495400000
348,1,Ciszewskiego,52.1589620000,21.0505450000
349,2,Lercha,52.1618620000,21.1150480000
351,2,Bartyki,52.1563970000,21.1289450000
354,1,Kępa Zawadowska,52.1457880000,21.1381840000
364,2,Zalesinek,52.0519450000,20.9994460000
369,2,CH Stara Papiernia,52.0906660000,21.1226980000
372,2,Mandarynki,52.1458230000,21.0631230000
373,2,Iwiczna,52.0918210000,21.0192150000
376,1,Os. Wyżyny,52.1375840000,21.0502510000
395,1,Metro Racławicka,52.2000240000,21.0114960000
400,1,Św. A. Boboli,52.2096190000,21.0012080000
402,1,Wołoska-Szpital,52.1981380000,21.0010880000
411,4,Bełdan,52.1748640000,21.0127410000
415,2,Spartańska,52.1928570000,20.9957500000
417,1,Zajezdnia Woronicza,52.1888280000,20.9971620000
419,3,Maklakiewicza,52.1883650000,20.9926800000
422,2,Rondo Żabczyńskiego,52.1766736600,20.9957854400
423,1,Obrzeżna,52.1720930000,20.9990040000
425,2,Taborowa,52.1671180000,20.9931770000
426,1,Ogrody Działkowe Wilanówka,52.1631880000,21.1078320000
427,1,Metro Służew,52.1733420000,21.0268920000
436,1,Pl. Unii Lubelskiej,52.2122640000,21.0187280000
444,1,Morskie Oko,52.2022340000,21.0231820000
448,17,Metro Wilanowska,52.1798540000,21.0242240000
449,16,Metro Wilanowska,52.1797470000,21.0241710000
450,15,Metro Wilanowska,52.1796450000,21.0241160000
451,14,Metro Wilanowska,52.1795660000,21.0239200000
453,1,Metro Wilanowska,52.1815200000,21.0220300000
460,5,Al. Lotników,52.1730720000,21.0209480000
463,4,Wyścigi,52.1673110000,21.0153110000
477,1,Dąbrówka,52.1050380000,21.0183830000
483,3,Dolna,52.2019700000,21.0373900000
486,2,Tor Stegny,52.1912550000,21.0460270000
493,51,Truskawiecka,52.1788640000,21.0590200000
497,2,Dominikańska,52.1773590000,21.0336080000
500,3,Dolina Służewiecka,52.1747130000,21.0455700000
502,2,Wilanów,52.1665100000,21.0830100000
504,6,Wilanów,52.1679530000,21.0843440000
434,2,Wąwozowa,52.1339500000,21.0750380000
435,1,Zaruby,52.1321470000,21.0720430000
438,1,Rakowiecka,52.2093760000,21.0211100000
443,2,Morskie Oko,52.2014370000,21.0237920000
446,1,Malczewskiego,52.1939650000,21.0240540000
458,2,Al. Lotników,52.1742110000,21.0205140000
459,6,Al. Lotników,52.1735510000,21.0189590000
464,3,Wyścigi,52.1676510000,21.0136580000
472,1,Łagiewnicka,52.1269610000,21.0178970000
482,4,Dolna,52.2016910000,21.0341490000
485,51,Kostrzewskiego,52.1972290000,21.0396530000
498,4,Dolina Służewiecka,52.1756380000,21.0429690000
509,2,Vogla,52.1603520000,21.0866720000
511,1,Powsinek,52.1508470000,21.0915900000
514,2,Rosochata,52.1282820000,21.1038620000
519,1,Andrutowa,52.1231140000,21.0983710000
525,1,Sielce,52.2058350000,21.0485550000
533,4,Goraszewska,52.1861410000,21.0626523900
536,7,Sadyba,52.1816400000,21.0691310000
538,6,Sadyba,52.1815100000,21.0688300000
542,1,Wiertnicza,52.1784000000,21.0729370000
545,2,Budexpo,52.2131270000,21.0576770000
546,1,Figowa,52.2123440000,21.0673130000
547,1,Łososiowa,52.2121260000,21.0735410000
550,2,Ananasowa,52.2031010000,21.0755660000
552,2,Kaloryczna,52.1989190000,21.0808320000
558,2,EC Siekierki,52.1930920000,21.0839680000
567,2,Bobrowiecka,52.2017060000,21.0461280000
574,2,Stegny,52.1775220000,21.0464060000
582,2,Arbuzowa,52.1677800000,21.0440800000
594,1,Ksawerów,52.1863700000,21.0184700000
598,3,Modzelewskiego,52.1834800000,21.0133400000
599,2,Smoluchowskiego,52.1803770000,21.0142000000
610,5,Ursynów Płn.,52.1620310000,21.0369440000
614,7,Ursynów Płn.,52.1622600000,21.0342010000
617,1,Strzeleckiego,52.1561200000,21.0450000000
619,1,Teligi,52.1543630000,21.0492080000
630,2,Metro Stokłosy,52.1557100000,21.0337540000
633,1,Centrum Onkologii,52.1500990000,21.0337330000
634,4,Centrum Onkologii,52.1499800000,21.0318130000
